model	depth_idx	length_idx	depth_lo	depth_hi	chars_lo	chars_hi	n	num	den	SR_pct
claude-haiku-4-5-20251001	0	0	0.0000	0.1250	3083	5322	63	26	63	41.27
claude-haiku-4-5-20251001	0	1	0.0000	0.1250	5322	9189	61	18	61	29.51
claude-haiku-4-5-20251001	0	2	0.0000	0.1250	9189	15863	81	35	81	43.21
claude-haiku-4-5-20251001	0	3	0.0000	0.1250	15863	27386	72	25	72	34.72
claude-haiku-4-5-20251001	0	4	0.0000	0.1250	27386	47279	88	37	88	42.05
claude-haiku-4-5-20251001	0	5	0.0000	0.1250	47279	81622	78	31	78	39.74
claude-haiku-4-5-20251001	0	6	0.0000	0.1250	81622	140911	76	20	76	26.32
claude-haiku-4-5-20251001	0	7	0.0000	0.1250	140911	243267	79	23	79	29.11
claude-haiku-4-5-20251001	1	0	0.1250	0.2500	3083	5322	64	29	64	45.31
claude-haiku-4-5-20251001	1	1	0.1250	0.2500	5322	9189	83	39	83	46.99
claude-haiku-4-5-20251001	1	2	0.1250	0.2500	9189	15863	89	31	89	34.83
claude-haiku-4-5-20251001	1	3	0.1250	0.2500	15863	27386	67	25	67	37.31
claude-haiku-4-5-20251001	1	4	0.1250	0.2500	27386	47279	88	35	88	39.77
claude-haiku-4-5-20251001	1	5	0.1250	0.2500	47279	81622	83	29	83	34.94
claude-haiku-4-5-20251001	1	6	0.1250	0.2500	81622	140911	73	15	73	20.55
claude-haiku-4-5-20251001	1	7	0.1250	0.2500	140911	243267	74	19	74	25.68
claude-haiku-4-5-20251001	2	0	0.2500	0.3750	3083	5322	79	32	79	40.51
claude-haiku-4-5-20251001	2	1	0.2500	0.3750	5322	9189	80	35	80	43.75
claude-haiku-4-5-20251001	2	2	0.2500	0.3750	9189	15863	74	26	74	35.14
claude-haiku-4-5-20251001	2	3	0.2500	0.3750	15863	27386	48	12	48	25.00
claude-haiku-4-5-20251001	2	4	0.2500	0.3750	27386	47279	62	25	62	40.32
claude-haiku-4-5-20251001	2	5	0.2500	0.3750	47279	81622	82	26	82	31.71
claude-haiku-4-5-20251001	2	6	0.2500	0.3750	81622	140911	98	24	98	24.49
claude-haiku-4-5-20251001	2	7	0.2500	0.3750	140911	243267	90	25	90	27.78
claude-haiku-4-5-20251001	3	0	0.3750	0.5000	3083	5322	75	23	75	30.67
claude-haiku-4-5-20251001	3	1	0.3750	0.5000	5322	9189	53	23	53	43.40
claude-haiku-4-5-20251001	3	2	0.3750	0.5000	9189	15863	75	28	75	37.33
claude-haiku-4-5-20251001	3	3	0.3750	0.5000	15863	27386	69	22	69	31.88
claude-haiku-4-5-20251001	3	4	0.3750	0.5000	27386	47279	84	33	84	39.29
claude-haiku-4-5-20251001	3	5	0.3750	0.5000	47279	81622	70	24	70	34.29
claude-haiku-4-5-20251001	3	6	0.3750	0.5000	81622	140911	72	26	72	36.11
claude-haiku-4-5-20251001	3	7	0.3750	0.5000	140911	243267	105	17	105	16.19
claude-haiku-4-5-20251001	4	0	0.5000	0.6250	3083	5322	79	39	79	49.37
claude-haiku-4-5-20251001	4	1	0.5000	0.6250	5322	9189	99	46	99	46.46
claude-haiku-4-5-20251001	4	2	0.5000	0.6250	9189	15863	85	36	85	42.35
claude-haiku-4-5-20251001	4	3	0.5000	0.6250	15863	27386	81	34	81	41.98
claude-haiku-4-5-20251001	4	4	0.5000	0.6250	27386	47279	69	27	69	39.13
claude-haiku-4-5-20251001	4	5	0.5000	0.6250	47279	81622	94	28	94	29.79
claude-haiku-4-5-20251001	4	6	0.5000	0.6250	81622	140911	80	23	80	28.75
claude-haiku-4-5-20251001	4	7	0.5000	0.6250	140911	243267	83	19	83	22.89
claude-haiku-4-5-20251001	5	0	0.6250	0.7500	3083	5322	80	39	80	48.75
claude-haiku-4-5-20251001	5	1	0.6250	0.7500	5322	9189	72	30	72	41.67
claude-haiku-4-5-20251001	5	2	0.6250	0.7500	9189	15863	76	23	76	30.26
claude-haiku-4-5-20251001	5	3	0.6250	0.7500	15863	27386	80	26	80	32.50
claude-haiku-4-5-20251001	5	4	0.6250	0.7500	27386	47279	88	28	88	31.82
claude-haiku-4-5-20251001	5	5	0.6250	0.7500	47279	81622	58	19	58	32.76
claude-haiku-4-5-20251001	5	6	0.6250	0.7500	81622	140911	70	19	70	27.14
claude-haiku-4-5-20251001	5	7	0.6250	0.7500	140911	243267	86	22	86	25.58
claude-haiku-4-5-20251001	6	0	0.7500	0.8750	3083	5322	81	34	80	42.50
claude-haiku-4-5-20251001	6	1	0.7500	0.8750	5322	9189	77	33	77	42.86
claude-haiku-4-5-20251001	6	2	0.7500	0.8750	9189	15863	89	41	88	46.59
claude-haiku-4-5-20251001	6	3	0.7500	0.8750	15863	27386	78	27	78	34.62
claude-haiku-4-5-20251001	6	4	0.7500	0.8750	27386	47279	80	30	80	37.50
claude-haiku-4-5-20251001	6	5	0.7500	0.8750	47279	81622	89	35	89	39.33
claude-haiku-4-5-20251001	6	6	0.7500	0.8750	81622	140911	61	21	61	34.43
