model	depth_idx	length_idx	depth_lo	depth_hi	chars_lo	chars_hi	n	num	den	SR_pct
claude-opus-4-7	0	0	0.0000	0.1250	3083	5322	63	54	63	85.71
claude-opus-4-7	0	1	0.0000	0.1250	5322	9189	61	50	61	81.97
claude-opus-4-7	0	2	0.0000	0.1250	9189	15863	81	72	81	88.89
claude-opus-4-7	0	3	0.0000	0.1250	15863	27386	72	65	72	90.28
claude-opus-4-7	0	4	0.0000	0.1250	27386	47279	88	76	88	86.36
claude-opus-4-7	0	5	0.0000	0.1250	47279	81622	78	64	78	82.05
claude-opus-4-7	0	6	0.0000	0.1250	81622	140911	76	56	76	73.68
claude-opus-4-7	0	7	0.0000	0.1250	140911	243267	79	52	79	65.82
claude-opus-4-7	1	0	0.1250	0.2500	3083	5322	64	57	64	89.06
claude-opus-4-7	1	1	0.1250	0.2500	5322	9189	83	71	83	85.54
claude-opus-4-7	1	2	0.1250	0.2500	9189	15863	89	68	89	76.40
claude-opus-4-7	1	3	0.1250	0.2500	15863	27386	67	54	67	80.60
claude-opus-4-7	1	4	0.1250	0.2500	27386	47279	88	69	88	78.41
claude-opus-4-7	1	5	0.1250	0.2500	47279	81622	83	65	83	78.31
claude-opus-4-7	1	6	0.1250	0.2500	81622	140911	73	58	73	79.45
claude-opus-4-7	1	7	0.1250	0.2500	140911	243267	74	50	73	68.49
claude-opus-4-7	2	0	0.2500	0.3750	3083	5322	79	71	79	89.87
claude-opus-4-7	2	1	0.2500	0.3750	5322	9189	80	55	80	68.75
claude-opus-4-7	2	2	0.2500	0.3750	9189	15863	74	63	74	85.14
claude-opus-4-7	2	3	0.2500	0.3750	15863	27386	48	40	48	83.33
claude-opus-4-7	2	4	0.2500	0.3750	27386	47279	62	50	62	80.65
claude-opus-4-7	2	5	0.2500	0.3750	47279	81622	82	65	82	79.27
claude-opus-4-7	2	6	0.2500	0.3750	81622	140911	98	81	98	82.65
claude-opus-4-7	2	7	0.2500	0.3750	140911	243267	90	67	90	74.44
claude-opus-4-7	3	0	0.3750	0.5000	3083	5322	75	63	75	84.00
claude-opus-4-7	3	1	0.3750	0.5000	5322	9189	53	45	53	84.91
claude-opus-4-7	3	2	0.3750	0.5000	9189	15863	75	60	75	80.00
claude-opus-4-7	3	3	0.3750	0.5000	15863	27386	69	53	69	76.81
claude-opus-4-7	3	4	0.3750	0.5000	27386	47279	84	67	84	79.76
claude-opus-4-7	3	5	0.3750	0.5000	47279	81622	70	55	70	78.57
claude-opus-4-7	3	6	0.3750	0.5000	81622	140911	72	61	72	84.72
claude-opus-4-7	3	7	0.3750	0.5000	140911	243267	105	83	105	79.05
claude-opus-4-7	4	0	0.5000	0.6250	3083	5322	79	69	79	87.34
claude-opus-4-7	4	1	0.5000	0.6250	5322	9189	99	87	99	87.88
claude-opus-4-7	4	2	0.5000	0.6250	9189	15863	85	73	84	86.90
claude-opus-4-7	4	3	0.5000	0.6250	15863	27386	81	66	81	81.48
claude-opus-4-7	4	4	0.5000	0.6250	27386	47279	69	57	69	82.61
claude-opus-4-7	4	5	0.5000	0.6250	47279	81622	94	77	94	81.91
claude-opus-4-7	4	6	0.5000	0.6250	81622	140911	80	59	80	73.75
claude-opus-4-7	4	7	0.5000	0.6250	140911	243267	83	66	83	79.52
claude-opus-4-7	5	0	0.6250	0.7500	3083	5322	80	65	79	82.28
claude-opus-4-7	5	1	0.6250	0.7500	5322	9189	72	63	72	87.50
claude-opus-4-7	5	2	0.6250	0.7500	9189	15863	76	61	76	80.26
claude-opus-4-7	5	3	0.6250	0.7500	15863	27386	80	66	80	82.50
claude-opus-4-7	5	4	0.6250	0.7500	27386	47279	88	70	88	79.55
claude-opus-4-7	5	5	0.6250	0.7500	47279	81622	58	46	58	79.31
claude-opus-4-7	5	6	0.6250	0.7500	81622	140911	70	55	70	78.57
claude-opus-4-7	5	7	0.6250	0.7500	140911	243267	86	73	86	84.88
claude-opus-4-7	6	0	0.7500	0.8750	3083	5322	81	66	81	81.48
claude-opus-4-7	6	1	0.7500	0.8750	5322	9189	77	61	77	79.22
claude-opus-4-7	6	2	0.7500	0.8750	9189	15863	89	70	89	78.65
claude-opus-4-7	6	3	0.7500	0.8750	15863	27386	78	67	78	85.90
claude-opus-4-7	6	4	0.7500	0.8750	27386	47279	80	64	80	80.00
claude-opus-4-7	6	5	0.7500	0.8750	47279	81622	89	72	89	80.90
claude-opus-4-7	6	6	0.7500	0.8750	81622	140911	61	48	61	78.69
claude-opus-4-7	6	7	0.7500	0.8750	140911	243267	66	50	66	75.76
claude-opus-4-7	7	0	0.8750	1.0000	3083	5322	78	68	78	87.18
claude-opus-4-7	7	1	0.8750	1.0000	5322	9189	87	77	87	88.51
claude-opus-4-7	7	2	0.8750	1.0000	9189	15863	80	66	80	82.50
claude-opus-4-7	7	3	0.8750	1.0000	15863	27386	68	55	68	80.88
claude-opus-4-7	7	4	0.8750	1.0000	27386	47279	73	63	73	86.30
claude-opus-4-7	7	5	0.8750	1.0000	47279	81622	66	55	66	83.33
claude-opus-4-7	7	6	0.8750	1.0000	81622	140911	79	72	79	91.14
claude-opus-4-7	7	7	0.8750	1.0000	140911	243267	71	58	71	81.69
