model	depth_idx	length_idx	depth_lo	depth_hi	chars_lo	chars_hi	n	num	den	SR_pct
claude-sonnet-4-6	0	0	0.0000	0.1250	3083	5322	63	48	63	76.19
claude-sonnet-4-6	0	1	0.0000	0.1250	5322	9189	61	37	61	60.66
claude-sonnet-4-6	0	2	0.0000	0.1250	9189	15863	81	60	81	74.07
claude-sonnet-4-6	0	3	0.0000	0.1250	15863	27386	72	51	72	70.83
claude-sonnet-4-6	0	4	0.0000	0.1250	27386	47279	88	64	88	72.73
claude-sonnet-4-6	0	5	0.0000	0.1250	47279	81622	78	48	78	61.54
claude-sonnet-4-6	0	6	0.0000	0.1250	81622	140911	76	45	76	59.21
claude-sonnet-4-6	0	7	0.0000	0.1250	140911	243267	79	49	79	62.03
claude-sonnet-4-6	1	0	0.1250	0.2500	3083	5322	64	51	64	79.69
claude-sonnet-4-6	1	1	0.1250	0.2500	5322	9189	83	57	83	68.67
claude-sonnet-4-6	1	2	0.1250	0.2500	9189	15863	89	58	89	65.17
claude-sonnet-4-6	1	3	0.1250	0.2500	15863	27386	67	41	67	61.19
claude-sonnet-4-6	1	4	0.1250	0.2500	27386	47279	88	61	88	69.32
claude-sonnet-4-6	1	5	0.1250	0.2500	47279	81622	83	45	83	54.22
claude-sonnet-4-6	1	6	0.1250	0.2500	81622	140911	73	44	73	60.27
claude-sonnet-4-6	1	7	0.1250	0.2500	140911	243267	74	47	74	63.51
claude-sonnet-4-6	2	0	0.2500	0.3750	3083	5322	79	55	79	69.62
claude-sonnet-4-6	2	1	0.2500	0.3750	5322	9189	80	59	80	73.75
claude-sonnet-4-6	2	2	0.2500	0.3750	9189	15863	74	57	74	77.03
claude-sonnet-4-6	2	3	0.2500	0.3750	15863	27386	48	27	48	56.25
claude-sonnet-4-6	2	4	0.2500	0.3750	27386	47279	62	46	62	74.19
claude-sonnet-4-6	2	5	0.2500	0.3750	47279	81622	82	50	82	60.98
claude-sonnet-4-6	2	6	0.2500	0.3750	81622	140911	98	53	98	54.08
claude-sonnet-4-6	2	7	0.2500	0.3750	140911	243267	90	54	90	60.00
claude-sonnet-4-6	3	0	0.3750	0.5000	3083	5322	75	46	74	62.16
claude-sonnet-4-6	3	1	0.3750	0.5000	5322	9189	53	37	52	71.15
claude-sonnet-4-6	3	2	0.3750	0.5000	9189	15863	75	54	75	72.00
claude-sonnet-4-6	3	3	0.3750	0.5000	15863	27386	69	50	69	72.46
claude-sonnet-4-6	3	4	0.3750	0.5000	27386	47279	84	53	83	63.86
claude-sonnet-4-6	3	5	0.3750	0.5000	47279	81622	70	44	70	62.86
claude-sonnet-4-6	3	6	0.3750	0.5000	81622	140911	72	45	72	62.50
claude-sonnet-4-6	3	7	0.3750	0.5000	140911	243267	105	66	105	62.86
claude-sonnet-4-6	4	0	0.5000	0.6250	3083	5322	79	60	79	75.95
claude-sonnet-4-6	4	1	0.5000	0.6250	5322	9189	99	73	99	73.74
claude-sonnet-4-6	4	2	0.5000	0.6250	9189	15863	85	62	85	72.94
claude-sonnet-4-6	4	3	0.5000	0.6250	15863	27386	81	61	81	75.31
claude-sonnet-4-6	4	4	0.5000	0.6250	27386	47279	69	43	69	62.32
claude-sonnet-4-6	4	5	0.5000	0.6250	47279	81622	94	59	94	62.77
claude-sonnet-4-6	4	6	0.5000	0.6250	81622	140911	80	46	80	57.50
claude-sonnet-4-6	4	7	0.5000	0.6250	140911	243267	83	54	83	65.06
claude-sonnet-4-6	5	0	0.6250	0.7500	3083	5322	80	58	80	72.50
claude-sonnet-4-6	5	1	0.6250	0.7500	5322	9189	72	52	72	72.22
claude-sonnet-4-6	5	2	0.6250	0.7500	9189	15863	76	49	76	64.47
claude-sonnet-4-6	5	3	0.6250	0.7500	15863	27386	80	52	80	65.00
claude-sonnet-4-6	5	4	0.6250	0.7500	27386	47279	88	59	88	67.05
claude-sonnet-4-6	5	5	0.6250	0.7500	47279	81622	58	42	58	72.41
claude-sonnet-4-6	5	6	0.6250	0.7500	81622	140911	70	43	70	61.43
claude-sonnet-4-6	5	7	0.6250	0.7500	140911	243267	86	57	86	66.28
claude-sonnet-4-6	6	0	0.7500	0.8750	3083	5322	81	56	81	69.14
claude-sonnet-4-6	6	1	0.7500	0.8750	5322	9189	77	58	77	75.32
claude-sonnet-4-6	6	2	0.7500	0.8750	9189	15863	89	67	88	76.14
claude-sonnet-4-6	6	3	0.7500	0.8750	15863	27386	78	58	78	74.36
claude-sonnet-4-6	6	4	0.7500	0.8750	27386	47279	80	53	79	67.09
claude-sonnet-4-6	6	5	0.7500	0.8750	47279	81622	89	57	89	64.04
claude-sonnet-4-6	6	6	0.7500	0.8750	81622	140911	61	34	61	55.74
claude-sonnet-4-6	6	7	0.7500	0.8750	140911	243267	66	43	66	65.15
claude-sonnet-4-6	7	0	0.8750	1.0000	3083	5322	78	53	76	69.74
claude-sonnet-4-6	7	1	0.8750	1.0000	5322	9189	87	67	87	77.01
claude-sonnet-4-6	7	2	0.8750	1.0000	9189	15863	80	60	79	75.95
claude-sonnet-4-6	7	3	0.8750	1.0000	15863	27386	68	45	67	67.16
claude-sonnet-4-6	7	4	0.8750	1.0000	27386	47279	73	53	72	73.61
claude-sonnet-4-6	7	5	0.8750	1.0000	47279	81622	66	46	66	69.70
claude-sonnet-4-6	7	6	0.8750	1.0000	81622	140911	79	62	79	78.48
claude-sonnet-4-6	7	7	0.8750	1.0000	140911	243267	71	46	71	64.79
