model	preset	variant	n	SR	GF	CM	FA	MUE
claude-haiku-4-5-20251001	canon_direct	C	248	98.38709677419355	0.0	100.0		100.0
claude-haiku-4-5-20251001	canon_direct	A+C	699	98.28326180257511	0.0	100.0		100.0
claude-haiku-4-5-20251001	canon_direct	B+C	699	97.13876967095851	0.0	100.0		100.0
claude-haiku-4-5-20251001	canon_direct	A	238			100.0	100.0	
claude-haiku-4-5-20251001	canon_direct	B	238			99.5798319327731	100.0	
claude-haiku-4-5-20251001	canon_no_distractor	C	248	81.04838709677419	5.241935483870968	92.74193548387096		98.79032258064517
claude-haiku-4-5-20251001	canon_no_distractor	A+C	699	67.52503576537912	9.585121602288984	81.40200286123033		97.13876967095851
claude-haiku-4-5-20251001	canon_no_distractor	B+C	699	68.24034334763948	10.872675250357654	80.97281831187411		97.85407725321889
claude-haiku-4-5-20251001	canon_no_distractor	A	238			13.865546218487395	36.134453781512605	
claude-haiku-4-5-20251001	canon_no_distractor	B	238			13.025210084033613	38.23529411764706	
claude-haiku-4-5-20251001	canon_unified	C	744	41.935483870967744	18.14516129032258	47.8494623655914		68.27956989247312
claude-haiku-4-5-20251001	canon_unified	A+C	2097	35.87786259541985	17.318702290076335	42.82308059132094		71.24463519313305
claude-haiku-4-5-20251001	canon_unified	B+C	2097	35.49618320610687	19.704198473282442	42.461832061068705		69.70419847328245
claude-haiku-4-5-20251001	canon_unified	A	714			18.627450980392158	61.06442577030813	
claude-haiku-4-5-20251001	canon_unified	B	714			18.067226890756302	61.06442577030813	
claude-opus-4-7	canon_unified	C	744	88.70967741935483	0.9408602150537635	94.75806451612904		97.04301075268818
claude-opus-4-7	canon_unified	A+C	2097	81.25	1.6221374045801527	89.8854961832061		94.79961832061069
claude-opus-4-7	canon_unified	B+C	2097	79.33174224343675	2.386634844868735	89.50381679389314		95.0381679389313
claude-opus-4-7	canon_unified	A	714			37.4468085106383	54.326241134751776	
claude-opus-4-7	canon_unified	B	714			38.43971631205674	54.184397163120565	
claude-sonnet-4-6	canon_unified	C	744	72.94751009421265	8.209959623149395	79.54239569313593		87.3485868102288
claude-sonnet-4-6	canon_unified	A+C	2097	68.48137535816619	5.969436485195797	77.45940783190066		88.44317096466094
claude-sonnet-4-6	canon_unified	B+C	2097	64.75370636059301	7.317073170731708	76.2906309751434		86.66347992351817
claude-sonnet-4-6	canon_unified	A	714			27.864214992927863	55.02121640735502	
claude-sonnet-4-6	canon_unified	B	714			29.39521800281294	57.52461322081575	
