model	stat	decile	log10_lo	log10_hi	chars_lo	chars_hi	n	num	den	pct	ci_lo	ci_hi
claude-haiku-4-5-20251001	SR	0	3.4890	3.6787	3083	4772	482	210	482	43.57	39.21	48.03
claude-haiku-4-5-20251001	SR	1	3.6787	3.8684	4772	7386	494	217	493	44.02	39.70	48.43
claude-haiku-4-5-20251001	SR	2	3.8684	4.0581	7386	11432	472	201	472	42.58	38.20	47.09
claude-haiku-4-5-20251001	SR	3	4.0581	4.2478	11432	17694	483	191	482	39.63	35.36	44.06
claude-haiku-4-5-20251001	SR	4	4.2478	4.4375	17694	27386	492	168	492	34.15	30.09	38.44
claude-haiku-4-5-20251001	SR	5	4.4375	4.6272	27386	42388	506	194	506	38.34	34.21	42.65
claude-haiku-4-5-20251001	SR	6	4.6272	4.8170	42388	65607	563	210	563	37.30	33.40	41.37
claude-haiku-4-5-20251001	SR	7	4.8170	5.0067	65607	101546	416	135	416	32.45	28.13	37.09
claude-haiku-4-5-20251001	SR	8	5.0067	5.1964	101546	157171	497	142	497	28.57	24.78	32.70
claude-haiku-4-5-20251001	SR	9	5.1964	5.3861	157171	243267	533	140	533	26.27	22.71	30.16
claude-haiku-4-5-20251001	CM	0	3.4890	3.6787	3083	4772	482	256	482	53.11	48.65	57.52
claude-haiku-4-5-20251001	CM	1	3.6787	3.8684	4772	7386	494	254	494	51.42	47.02	55.80
claude-haiku-4-5-20251001	CM	2	3.8684	4.0581	7386	11432	472	238	472	50.42	45.93	54.91
claude-haiku-4-5-20251001	CM	3	4.0581	4.2478	11432	17694	483	224	482	46.47	42.07	50.94
claude-haiku-4-5-20251001	CM	4	4.2478	4.4375	17694	27386	492	202	492	41.06	36.80	45.46
claude-haiku-4-5-20251001	CM	5	4.4375	4.6272	27386	42388	506	217	506	42.89	38.64	47.24
claude-haiku-4-5-20251001	CM	6	4.6272	4.8170	42388	65607	563	250	563	44.40	40.35	48.53
claude-haiku-4-5-20251001	CM	7	4.8170	5.0067	65607	101546	416	155	416	37.26	32.75	42.00
claude-haiku-4-5-20251001	CM	8	5.0067	5.1964	101546	157171	497	177	497	35.61	31.53	39.92
claude-haiku-4-5-20251001	CM	9	5.1964	5.3861	157171	243267	533	171	533	32.08	28.26	36.16
claude-haiku-4-5-20251001	MUE	0	3.4890	3.6787	3083	4772	482	379	482	78.63	74.75	82.06
claude-haiku-4-5-20251001	MUE	1	3.6787	3.8684	4772	7386	494	387	494	78.34	74.50	81.75
claude-haiku-4-5-20251001	MUE	2	3.8684	4.0581	7386	11432	472	339	472	71.82	67.60	75.69
claude-haiku-4-5-20251001	MUE	3	4.0581	4.2478	11432	17694	483	350	482	72.61	68.47	76.40
claude-haiku-4-5-20251001	MUE	4	4.2478	4.4375	17694	27386	492	347	492	70.53	66.35	74.39
claude-haiku-4-5-20251001	MUE	5	4.4375	4.6272	27386	42388	506	358	506	70.75	66.64	74.55
claude-haiku-4-5-20251001	MUE	6	4.6272	4.8170	42388	65607	563	400	563	71.05	67.17	74.64
claude-haiku-4-5-20251001	MUE	7	4.8170	5.0067	65607	101546	416	277	416	66.59	61.92	70.95
claude-haiku-4-5-20251001	MUE	8	5.0067	5.1964	101546	157171	497	307	497	61.77	57.42	65.94
claude-haiku-4-5-20251001	MUE	9	5.1964	5.3861	157171	243267	533	319	533	59.85	55.63	63.93
claude-opus-4-7	SR	0	3.4890	3.6787	3083	4772	482	414	481	86.07	82.69	88.88
