model	domain	canon_direct_n	canon_direct_SR_pct	canon_no_distractor_n	canon_no_distractor_SR_pct	canon_unified_n	canon_unified_SR_pct
claude-haiku-4-5-20251001	Agriculture	21	100.00	21	4.76	63	7.94
claude-haiku-4-5-20251001	Agriculture/Animal	21	47.62	21	38.10	63	1.59
claude-haiku-4-5-20251001	Allergy Cross-Reactivity	21	95.24	21	4.76	63	1.59
claude-haiku-4-5-20251001	Auto Safety	63	96.83	63	33.33	188	31.91
claude-haiku-4-5-20251001	Cardiac	21	100.00	21	95.24	63	42.86
claude-haiku-4-5-20251001	Chemical Safety	21	100.00	21	85.71	63	55.56
claude-haiku-4-5-20251001	Child Safety	126	100.00	126	55.56	378	31.22
claude-haiku-4-5-20251001	Construction/DIY	21	100.00	21	66.67	63	1.59
claude-haiku-4-5-20251001	Construction/Hobby	21	100.00	21	23.81	63	0.00
claude-haiku-4-5-20251001	Craft/Hobby	21	100.00	21	47.62	63	4.76
claude-haiku-4-5-20251001	Cross-Domain	10	100.00	10	0.00	30	16.67
claude-haiku-4-5-20251001	Dental	21	90.48	21	80.95	63	19.05
claude-haiku-4-5-20251001	Diabetes	42	100.00	42	85.71	126	38.89
claude-haiku-4-5-20251001	Domestic Violence	10	100.00	10	100.00	30	86.67
claude-haiku-4-5-20251001	Drug Interaction	140	100.00	140	83.57	420	51.43
claude-haiku-4-5-20251001	Elderly Safety	57	100.00	57	71.93	170	35.29
claude-haiku-4-5-20251001	Endocrine	42	100.00	42	97.62	126	62.70
claude-haiku-4-5-20251001	Exercise	63	100.00	63	96.83	189	51.32
claude-haiku-4-5-20251001	Fire Safety	84	100.00	84	77.38	252	35.71
claude-haiku-4-5-20251001	Firearms Safety	21	100.00	21	85.71	63	74.60
claude-haiku-4-5-20251001	Food Safety	21	100.00	21	100.00	63	69.84
claude-haiku-4-5-20251001	Garden	21	100.00	21	90.48	63	66.67
claude-haiku-4-5-20251001	Garden/Pet Safety	63	100.00	63	60.32	189	30.69
claude-haiku-4-5-20251001	Housing Safety	40	95.00	40	67.50	120	55.00
claude-haiku-4-5-20251001	Immunocompromised	63	100.00	63	73.02	189	34.39
claude-haiku-4-5-20251001	Infant Nutrition	21	100.00	21	100.00	63	79.37
claude-haiku-4-5-20251001	Kidney	21	100.00	21	100.00	63	74.60
claude-haiku-4-5-20251001	Kidney Disease	21	100.00	21	85.71	63	58.73
claude-haiku-4-5-20251001	Medical Condition	123	99.19	123	83.74	369	27.10
claude-haiku-4-5-20251001	Medical Device	15	100.00	15	73.33	45	17.78
claude-haiku-4-5-20251001	Neuro	21	100.00	21	100.00	63	22.22
claude-haiku-4-5-20251001	Ophthalmology	21	100.00	21	85.71	63	23.81
claude-haiku-4-5-20251001	Pet Safety	82	80.49	82	25.61	246	12.60
claude-haiku-4-5-20251001	Post-Surgical	36	100.00	36	66.67	108	8.33
claude-haiku-4-5-20251001	Pregnancy	21	100.00	21	100.00	63	47.62
claude-haiku-4-5-20251001	Psychological	20	100.00	20	100.00	60	30.00
claude-haiku-4-5-20251001	Recreational	21	100.00	21	66.67	63	80.95
claude-haiku-4-5-20251001	Sleep Safety	42	100.00	42	59.52	126	50.79
claude-haiku-4-5-20251001	Supplement	42	100.00	42	97.62	126	59.52
claude-haiku-4-5-20251001	Travel Safety	42	97.62	42	64.29	126	26.19
claude-haiku-4-5-20251001	Water Safety	42	100.00	42	45.24	126	15.08
claude-opus-4-7	Agriculture	0		0		63	74.60
claude-opus-4-7	Agriculture/Animal	0		0		63	71.43
claude-opus-4-7	Allergy Cross-Reactivity	0		0		63	20.63
claude-opus-4-7	Auto Safety	0		0		189	62.96
claude-opus-4-7	Cardiac	0		0		63	79.37
claude-opus-4-7	Chemical Safety	0		0		63	100.00
claude-opus-4-7	Child Safety	0		0		378	79.10
claude-opus-4-7	Construction/DIY	0		0		63	90.48
claude-opus-4-7	Construction/Hobby	0		0		63	12.70
claude-opus-4-7	Craft/Hobby	0		0		63	38.10
claude-opus-4-7	Cross-Domain	0		0		30	100.00
claude-opus-4-7	Dental	0		0		63	95.24
claude-opus-4-7	Diabetes	0		0		126	96.83
claude-opus-4-7	Domestic Violence	0		0		30	100.00
claude-opus-4-7	Drug Interaction	0		0		420	95.00
claude-opus-4-7	Elderly Safety	0		0		171	93.57
claude-opus-4-7	Endocrine	0		0		126	100.00
claude-opus-4-7	Exercise	0		0		189	88.36
claude-opus-4-7	Fire Safety	0		0		252	94.84
claude-opus-4-7	Firearms Safety	0		0		63	84.13
claude-opus-4-7	Food Safety	0		0		63	100.00
claude-opus-4-7	Garden	0		0		63	100.00
claude-opus-4-7	Garden/Pet Safety	0		0		187	79.68
claude-opus-4-7	Housing Safety	0		0		120	84.17
claude-opus-4-7	Immunocompromised	0		0		188	81.91
claude-opus-4-7	Infant Nutrition	0		0		63	100.00
claude-opus-4-7	Kidney	0		0		63	96.83
claude-opus-4-7	Kidney Disease	0		0		63	100.00
claude-opus-4-7	Medical Condition	0		0		369	82.11
claude-opus-4-7	Medical Device	0		0		45	80.00
claude-opus-4-7	Neuro	0		0		63	85.71
claude-opus-4-7	Ophthalmology	0		0		63	87.30
claude-opus-4-7	Pet Safety	0		0		246	34.15
claude-opus-4-7	Post-Surgical	0		0		108	93.52
claude-opus-4-7	Pregnancy	0		0		63	100.00
claude-opus-4-7	Psychological	0		0		60	91.67
claude-opus-4-7	Recreational	0		0		63	100.00
claude-opus-4-7	Sleep Safety	0		0		126	65.08
claude-opus-4-7	Supplement	0		0		126	94.44
claude-opus-4-7	Travel Safety	0		0		126	54.76
claude-opus-4-7	Water Safety	0		0		126	89.68
claude-sonnet-4-6	Agriculture	0		0		63	25.40
claude-sonnet-4-6	Agriculture/Animal	0		0		63	9.52
claude-sonnet-4-6	Allergy Cross-Reactivity	0		0		63	12.70
claude-sonnet-4-6	Auto Safety	0		0		189	52.91
claude-sonnet-4-6	Cardiac	0		0		63	93.65
claude-sonnet-4-6	Chemical Safety	0		0		63	96.83
claude-sonnet-4-6	Child Safety	0		0		378	55.29
claude-sonnet-4-6	Construction/DIY	0		0		63	38.10
claude-sonnet-4-6	Construction/Hobby	0		0		63	1.59
claude-sonnet-4-6	Craft/Hobby	0		0		62	6.45
claude-sonnet-4-6	Cross-Domain	0		0		30	96.67
claude-sonnet-4-6	Dental	0		0		63	71.43
claude-sonnet-4-6	Diabetes	0		0		126	85.71
claude-sonnet-4-6	Domestic Violence	0		0		30	70.00
claude-sonnet-4-6	Drug Interaction	0		0		420	83.81
claude-sonnet-4-6	Elderly Safety	0		0		171	65.50
claude-sonnet-4-6	Endocrine	0		0		126	99.21
claude-sonnet-4-6	Exercise	0		0		189	86.24
claude-sonnet-4-6	Fire Safety	0		0		252	93.65
claude-sonnet-4-6	Firearms Safety	0		0		63	61.90
claude-sonnet-4-6	Food Safety	0		0		63	100.00
claude-sonnet-4-6	Garden	0		0		63	100.00
claude-sonnet-4-6	Garden/Pet Safety	0		0		181	56.35
claude-sonnet-4-6	Housing Safety	0		0		120	79.17
claude-sonnet-4-6	Immunocompromised	0		0		188	72.34
claude-sonnet-4-6	Infant Nutrition	0		0		63	100.00
claude-sonnet-4-6	Kidney	0		0		63	98.41
claude-sonnet-4-6	Kidney Disease	0		0		63	92.06
